population,micro_code,micro_name,longitude,latitude
1908700.0,15007,Belém,-48.49333695652704,-1.36110611571018
232385.0,15008,Castanhal,-48.03146491724927,-1.3831495391378748
220543.0,15009,Salgado,-47.78264819989282,-0.8227653998503498
334713.0,15010,Bragantina,-47.072825143432674,-1.149667241903499
360154.0,15011,Cametá,-49.531455926088974,-2.3495539554838047
218379.0,15012,Tomé-Açu,-48.77785890203841,-2.7306789441118804
370738.0,15013,Guamá,-47.19326810542557,-2.076217382896064
204574.0,15014,Itaituba,-56.42322824773843,-6.451889525317966
229706.0,15015,Altamira,-53.30170733732794,-5.653646124585426
261385.0,15016,Tucuruí,-49.827519904347255,-4.591160355405251
224216.0,15017,Paragominas,-48.00964641793822,-3.8367082888114505
90906.0,15018,São Félix do Xingu,-51.95653835777543,-7.44108864591418
160550.0,15019,Parauapebas,-50.1796218755816,-6.392182274402748
222211.0,15020,Marabá,-49.66830311056766,-5.64073691860452
166141.0,15021,Redenção,-49.58715618316257,-7.094933508182382
102547.0,15022,Conceição do Araguaia,-50.193641806376114,-8.70154182150554
20467.0,16001,Oiapoque,-51.71113413732279,2.8345446181276883
16966.0,16002,Amapá,-50.87674267398634,1.580296856603398
410258.0,16003,Macapá,-51.68501333074668,0.988936707006077
51044.0,16004,Mazagão,-52.85496334703099,0.6556882780916372
178024.0,17001,Bico do Papagaio,-47.89806030686381,-6.037982055721424
234422.0,17002,Araguaína,-48.450017566183135,-7.347005553666611
137622.0,17003,Miracema do Tocantins,-49.00280019940266,-9.119396510125725
104041.0,17004,Rio Formoso,-49.832676598931,-11.342144723099608
122789.0,17005,Gurupi,-48.79212184288193,-12.066231110512414
232417.0,17006,Porto Nacional,-48.14214479415437,-10.105742432151404
62759.0,17007,Jalapão,-47.171291851159694,-9.521497719303238
112821.0,17008,Dianópolis,-47.34484620982779,-12.144744283082174
175196.0,21001,Litoral Ocidental Maranhense,-44.77205843458677,-2.1512847911120057
1098926.0,21002,Aglomeração Urbana de São Luís,-44.214183050355714,-2.5944532386453685
134356.0,21003,Rosário,-44.02957381762475,-2.926852100828216
132829.0,21004,Lençois Maranhenses,-43.07405197016953,-2.732180992984396
489270.0,21005,Baixada Maranhenses,-45.10131574480533,-3.0325241279187165
153479.0,21006,Itapecuru Mirim,-44.100428141934586,-3.612201966023739
